Schluessel,Zeile,Von,Bis,Behinderung,hatTatbestandBE,hatZusatzinformationTatbestandstabelle,gehoertZuTatbestandstabelleBE
'165','2','3','4','N','104601','','704000'
'166','3','2','3','N','104602','','704000'
'167','4','1','2','N','104603','','704000'
'168','5','0','1','N','104604','','704000'
'169','1','4','5','N','104606','','704001'
'170','2','3','4','N','104607','','704001'
'171','3','2','3','N','104608','','704001'
'172','4','1','2','N','104609','','704001'
'173','5','0','1','N','104610','','704001'
'174','1','4','5','N','104612','','704002'
'175','2','3','4','N','104613','','704002'
'176','3','2','3','N','104614','','704002'
'177','4','1','2','N','104615','','704002'
'178','5','0','1','N','104616','','704002'
'179','1','4','5','N','104618','','704003'
'180','2','3','4','N','104619','','704003'
'181','3','2','3','N','104620','','704003'
'182','4','1','2','N','104621','','704003'
'183','5','0','1','N','104622','','704003'
'184','1','4','5','N','104624','','704004'
'185','2','3','4','N','104625','','704004'
'186','3','2','3','N','104626','','704004'
'187','4','1','2','N','104627','','704004'
'188','5','0','1','N','104628','','704004'
'189','1','4','5','N','104630','','704005'
'190','2','3','4','N','104631','','704005'
'191','3','2','3','N','104632','','704005'
'192','4','1','2','N','104633','','704005'
'193','5','0','1','N','104634','','704005'
'194','1','0','999','N','112000','1','712000'
'195','2','0','999','J','112001','1','712000'
'196','3','0','999','N','112006','2','712000'
'197','1','0','1','N','112100','1','712001'
'198','2','0','1','J','112101','1','712001'
'199','3','0','1','N','112102','2','712001'
'200','4','0','1','J','112103','2','712001'
'201','5','1','999','N','112104','4','712001'
'202','6','1','999','J','112105','4','712001'
'203','1','0','1','N','112110','1','712002'
'204','2','0','1','J','112111','1','712002'
'205','3','0','1','N','112112','2','712002'
'206','4','0','1','J','112113','2','712002'
'207','5','1','999','N','112114','4','712002'
'208','6','1','999','J','112115','4','712002'
'209','1','0','1','N','112120','1','712003'
'210','2','0','1','J','112121','1','712003'
'211','3','0','1','N','112122','2','712003'
'212','4','0','1','J','112123','2','712003'
'213','5','0','1','N','112124','4','712003'
'214','6','0','1','J','112125','4','712003'
'215','1','0','1','N','112130','1','712004'
'216','2','0','1','J','112131','1','712004'
'217','3','0','1','N','112132','2','712004'
'218','4','0','1','J','112133','2','712004'
'219','5','1','999','N','112134','4','712004'
'220','6','1','999','J','112135','4','712004'
'221','1','0','1','N','112140','1','712005'
'222','2','0','1','J','112141','1','712005'
'223','3','0','1','N','112142','2','712005'
'224','4','0','1','J','112143','2','712005'
'225','5','1','999','N','112144','4','712005'
'226','6','1','999','J','112145','4','712005'
'227','1','0','1','N','112152','2','712006'
'228','2','0','1','J','112153','2','712006'
