Schluessel,Zeile,Von,Bis,Behinderung,hatTatbestandBE,hatZusatzinformationTatbestandstabelle,gehoertZuTatbestandstabelleBE
'2209','6','30','999','N','334758','2007-03-01-00.00.00.0000','','734052'
'2210','1','20','25','N','334762','2007-03-01-00.00.00.0000','','734053'
'2211','2','25','30','N','334763','2007-03-01-00.00.00.0000','','734053'
'2212','3','30','999','N','334764','2007-03-01-00.00.00.0000','','734053'
'2213','2','5','10','N','334768','2007-03-01-00.00.00.0000','','734060'
'2214','3','10','15','N','334769','2007-03-01-00.00.00.0000','','734060'
'2215','4','15','20','N','334770','2007-03-01-00.00.00.0000','','734060'
'2216','5','20','25','N','334771','2007-03-01-00.00.00.0000','','734060'
'2217','6','25','30','N','334772','2007-03-01-00.00.00.0000','','734060'
'2218','7','30','999','N','334773','2007-03-01-00.00.00.0000','','734060'
'2219','1','5','10','N','334774','2007-03-01-00.00.00.0000','','734061'
'2220','2','10','15','N','334775','2007-03-01-00.00.00.0000','','734061'
'2221','3','15','20','N','334776','2007-03-01-00.00.00.0000','','734061'
'2222','4','20','25','N','334777','2007-03-01-00.00.00.0000','','734061'
'2223','5','25','30','N','334778','2007-03-01-00.00.00.0000','','734061'
'2224','6','30','999','N','334779','2007-03-01-00.00.00.0000','','734061'
'2225','1','5','10','N','334780','2007-03-01-00.00.00.0000','','734062'
'2226','2','10','15','N','334781','2007-03-01-00.00.00.0000','','734062'
'2227','3','15','20','N','334782','2007-03-01-00.00.00.0000','','734062'
'2228','4','20','25','N','334783','2007-03-01-00.00.00.0000','','734062'
'2229','5','25','30','N','334784','2007-03-01-00.00.00.0000','','734062'
'2230','6','30','999','N','334785','2007-03-01-00.00.00.0000','','734062'
'2231','2','5','10','N','334786','2007-03-01-00.00.00.0000','','734063'
'2232','3','10','15','N','334787','2007-03-01-00.00.00.0000','','734063'
'2233','4','15','20','N','334788','2007-03-01-00.00.00.0000','','734063'
'2234','5','20','25','N','334789','2007-03-01-00.00.00.0000','','734063'
'2235','6','25','30','N','334790','2007-03-01-00.00.00.0000','','734063'
'2236','7','30','999','N','334791','2007-03-01-00.00.00.0000','','734063'
'2237','1','5','10','N','334792','2007-03-01-00.00.00.0000','','734064'
'2238','2','10','15','N','334793','2007-03-01-00.00.00.0000','','734064'
'2239','3','15','20','N','334794','2007-03-01-00.00.00.0000','','734064'
'2240','4','20','25','N','334795','2007-03-01-00.00.00.0000','','734064'
'2241','5','25','30','N','334796','2007-03-01-00.00.00.0000','','734064'
'2242','6','30','999','N','334797','2007-03-01-00.00.00.0000','','734064'
'2243','1','5','10','N','334798','2007-03-01-00.00.00.0000','','734065'
'2244','2','10','15','N','334799','2007-03-01-00.00.00.0000','','734065'
'2245','3','15','20','N','334800','2007-03-01-00.00.00.0000','','734065'
'2246','4','20','25','N','334801','2007-03-01-00.00.00.0000','','734065'
'2247','5','25','30','N','334802','2007-03-01-00.00.00.0000','','734065'
'2248','6','30','999','N','334803','2007-03-01-00.00.00.0000','','734065'
'2249','2','5','10','N','334804','2007-03-01-00.00.00.0000','','734070'
'2250','3','10','15','N','334805','2007-03-01-00.00.00.0000','','734070'
'2251','4','15','20','N','334806','2007-03-01-00.00.00.0000','','734070'
'2252','5','20','25','N','334807','2007-03-01-00.00.00.0000','','734070'
'2253','6','25','30','N','334808','2007-03-01-00.00.00.0000','','734070'
'2254','7','30','999','N','334809','2007-03-01-00.00.00.0000','','734070'
'2255','1','5','10','N','334810','2007-03-01-00.00.00.0000','','734071'
'2256','2','10','15','N','334811','2007-03-01-00.00.00.0000','','734071'
'2257','3','15','20','N','334812','2007-03-01-00.00.00.0000','','734071'
'2258','4','20','25','N','334813','2007-03-01-00.00.00.0000','','734071'
'2259','5','25','30','N','334814','2007-03-01-00.00.00.0000','','734071'
'2260','6','30','999','N','334815','2007-03-01-00.00.00.0000','','734071'
'2261','2','5','10','N','334816','2007-03-01-00.00.00.0000','','734072'
'2262','3','10','15','N','334817','2007-03-01-00.00.00.0000','','734072'
'2263','4','15','20','N','334818','2007-03-01-00.00.00.0000','','734072'
'2264','5','20','25','N','334819','2007-03-01-00.00.00.0000','','734072'
'2265','6','25','30','N','334820','2007-03-01-00.00.00.0000','','734072'
'2266','7','30','999','N','334821','2007-03-01-00.00.00.0000','','734072'
'2267','1','5','10','N','334822','2007-03-01-00.00.00.0000','','734073'
'2268','2','10','15','N','334823','2007-03-01-00.00.00.0000','','734073'
'2269','3','15','20','N','334824','2007-03-01-00.00.00.0000','','734073'
'2270','4','20','25','N','334825','2007-03-01-00.00.00.0000','','734073'
'2271','5','25','30','N','334826','2007-03-01-00.00.00.0000','','734073'
'2272','6','30','999','N','334827','2007-03-01-00.00.00.0000','','734073'
'2273','2','5','10','N','334828','2007-03-01-00.00.00.0000','','734080'
'2274','3','10','15','N','334829','2007-03-01-00.00.00.0000','','734080'
'2275','4','15','20','N','334830','2007-03-01-00.00.00.0000','','734080'
'2276','5','20','25','N','334831','2007-03-01-00.00.00.0000','','734080'
'2277','6','25','30','N','334832','2007-03-01-00.00.00.0000','','734080'
'2278','7','30','999','N','334833','2007-03-01-00.00.00.0000','','734080'
'2279','1','5','10','N','334834','2007-03-01-00.00.00.0000','','734081'
'2280','2','10','15','N','334835','2007-03-01-00.00.00.0000','','734081'
'2281','3','15','20','N','334836','2007-03-01-00.00.00.0000','','734081'
'2282','4','20','25','N','334837','2007-03-01-00.00.00.0000','','734081'
'2283','5','25','30','N','334838','2007-03-01-00.00.00.0000','','734081'
'2284','6','30','999','N','334839','2007-03-01-00.00.00.0000','','734081'
'2285','2','5','10','N','334840','2007-03-01-00.00.00.0000','','734082'
'2286','3','10','15','N','334841','2007-03-01-00.00.00.0000','','734082'
'2287','4','15','20','N','334842','2007-03-01-00.00.00.0000','','734082'
'2288','5','20','25','N','334843','2007-03-01-00.00.00.0000','','734082'
'2289','6','25','30','N','334844','2007-03-01-00.00.00.0000','','734082'
'2290','7','30','999','N','334845','2007-03-01-00.00.00.0000','','734082'
'2291','1','5','10','N','334846','2007-03-01-00.00.00.0000','','734083'
'2292','2','10','15','N','334847','2007-03-01-00.00.00.0000','','734083'
'2293','3','15','20','N','334848','2007-03-01-00.00.00.0000','','734083'
'2294','4','20','25','N','334849','2007-03-01-00.00.00.0000','','734083'
'2295','5','25','30','N','334850','2007-03-01-00.00.00.0000','','734083'
'2296','6','30','999','N','334851','2007-03-01-00.00.00.0000','','734083'
'2297','1','2','5','N','342100','2007-03-01-00.00.00.0000','','742300'
'2298','1','2','5','N','342112','2007-03-01-00.00.00.0000','','742310'
'2299','1','5','10','N','342124','2007-03-01-00.00.00.0000','','742320'
'2300','2','10','15','N','342125','2007-03-01-00.00.00.0000','','742320'
'2301','3','15','20','N','342126','2007-03-01-00.00.00.0000','','742320'
'2302','1','2','5','N','342136','2007-03-01-00.00.00.0000','','742330'
'2303','1','2','5','N','342148','2007-03-01-00.00.00.0000','','742340'
'2304','2','5','10','N','342600','2007-03-01-00.00.00.0000','','742300'
'2305','3','10','15','N','342601','2007-03-01-00.00.00.0000','','742300'
'2306','4','15','20','N','342602','2007-03-01-00.00.00.0000','','742300'
'2307','5','20','25','N','342603','2007-03-01-00.00.00.0000','','742300'
'2308','6','25','30','N','342604','2007-03-01-00.00.00.0000','','742300'
'2309','7','30','999','N','342605','2007-03-01-00.00.00.0000','','742300'
'2310','1','5','10','N','342606','2007-03-01-00.00.00.0000','','742301'
'2311','2','10','15','N','342607','2007-03-01-00.00.00.0000','','742301'
'2312','3','15','20','N','342608','2007-03-01-00.00.00.0000','','742301'
'2313','4','20','25','N','342609','2007-03-01-00.00.00.0000','','742301'
'2314','5','25','30','N','342610','2007-03-01-00.00.00.0000','','742301'
'2315','6','30','999','N','342611','2007-03-01-00.00.00.0000','','742301'
'2316','2','5','10','N','342612','2007-03-01-00.00.00.0000','','742310'
'2317','3','10','15','N','342613','2007-03-01-00.00.00.0000','','742310'
'2318','4','15','20','N','342614','2007-03-01-00.00.00.0000','','742310'
'2319','5','20','25','N','342615','2007-03-01-00.00.00.0000','','742310'
'2320','6','25','30','N','342616','2007-03-01-00.00.00.0000','','742310'
'2321','7','30','999','N','342617','2007-03-01-00.00.00.0000','','742310'
'2322','1','5','10','N','342618','2007-03-01-00.00.00.0000','','742311'
'2323','2','10','15','N','342619','2007-03-01-00.00.00.0000','','742311'
'2324','3','15','20','N','342620','2007-03-01-00.00.00.0000','','742311'
'2325','4','20','25','N','342621','2007-03-01-00.00.00.0000','','742311'
'2326','5','25','30','N','342622','2007-03-01-00.00.00.0000','','742311'
'2327','6','30','999','N','342623','2007-03-01-00.00.00.0000','','742311'
'2328','4','20','25','N','342624','2007-03-01-00.00.00.0000','','742320'
'2329','5','25','30','N','342625','2007-03-01-00.00.00.0000','','742320'
'2330','6','30','999','N','342626','2007-03-01-00.00.00.0000','','742320'
'2331','1','20','25','N','342630','2007-03-01-00.00.00.0000','','742321'
'2332','2','25','30','N','342631','2007-03-01-00.00.00.0000','','742321'
'2333','3','30','999','N','342632','2007-03-01-00.00.00.0000','','742321'
'2334','2','5','10','N','342636','2007-03-01-00.00.00.0000','','742330'
'2335','3','10','15','N','342637','2007-03-01-00.00.00.0000','','742330'
'2336','4','15','20','N','342638','2007-03-01-00.00.00.0000','','742330'
'2337','5','20','25','N','342639','2007-03-01-00.00.00.0000','','742330'
'2338','6','25','30','N','342640','2007-03-01-00.00.00.0000','','742330'
'2339','7','30','999','N','342641','2007-03-01-00.00.00.0000','','742330'
'2340','1','5','10','N','342642','2007-03-01-00.00.00.0000','','742331'
'2341','2','10','15','N','342643','2007-03-01-00.00.00.0000','','742331'
'2342','3','15','20','N','342644','2007-03-01-00.00.00.0000','','742331'
'2343','4','20','25','N','342645','2007-03-01-00.00.00.0000','','742331'
'2344','5','25','30','N','342646','2007-03-01-00.00.00.0000','','742331'
'2345','6','30','999','N','342647','2007-03-01-00.00.00.0000','','742331'
'2346','2','5','10','N','342648','2007-03-01-00.00.00.0000','','742340'
'2347','3','10','15','N','342649','2007-03-01-00.00.00.0000','','742340'
'2348','4','15','20','N','342650','2007-03-01-00.00.00.0000','','742340'
'2349','5','20','25','N','342651','2007-03-01-00.00.00.0000','','742340'
'2350','6','25','30','N','342652','2007-03-01-00.00.00.0000','','742340'
'2351','7','30','999','N','342653','2007-03-01-00.00.00.0000','','742340'
'2352','1','5','10','N','342654','2007-03-01-00.00.00.0000','','742341'
'2353','2','10','15','N','342655','2007-03-01-00.00.00.0000','','742341'
'2354','3','15','20','N','342656','2007-03-01-00.00.00.0000','','742341'
'2355','4','20','25','N','342657','2007-03-01-00.00.00.0000','','742341'
'2356','5','25','30','N','342658','2007-03-01-00.00.00.0000','','742341'
'2357','6','30','999','N','342659','2007-03-01-00.00.00.0000','','742341'
'2358','1','0','10','N','103178','2008-03-01-00.00.00.0000','','703006'
'2359','2','11','15','N','103179','2008-03-01-00.00.00.0000','','703006'
'2360','1','0','10','N','103184','2008-03-01-00.00.00.0000','','703007'
'2361','2','11','15','N','103185','2008-03-01-00.00.00.0000','','703007'
'2362','1','0','10','N','103190','2008-03-01-00.00.00.0000','','703008'
'2363','1','0','10','N','103196','2008-03-01-00.00.00.0000','','703009'
'2364','2','11','15','N','103197','2008-03-01-00.00.00.0000','','703009'
'2365','1','0','10','N','103202','2008-03-01-00.00.00.0000','','703010'
'2366','2','11','15','N','103203','2008-03-01-00.00.00.0000','','703010'
'2367','3','16','20','N','103204','2008-03-01-00.00.00.0000','','703010'
'2368','1','0','10','N','103208','2008-03-01-00.00.00.0000','','703011'
'2369','2','11','15','N','103209','2008-03-01-00.00.00.0000','','703011'
'2370','3','16','20','N','103210','2008-03-01-00.00.00.0000','','703011'
'2371','1','0','10','N','103214','2008-03-01-00.00.00.0000','','703012'
'2372','2','11','15','N','103215','2008-03-01-00.00.00.0000','','703012'
'2373','1','0','10','N','103220','2008-03-01-00.00.00.0000','','703013'
'2374','2','11','15','N','103221','2008-03-01-00.00.00.0000','','703013'
'2375','1','0','10','N','103226','2008-03-01-00.00.00.0000','','703014'
'2376','1','0','10','N','103232','2008-03-01-00.00.00.0000','','703015'
'2377','2','11','15','N','103233','2008-03-01-00.00.00.0000','','703015'
'2378','1','0','10','N','103238','2008-03-01-00.00.00.0000','','703016'
'2379','2','11','15','N','103239','2008-03-01-00.00.00.0000','','703016'
'2380','3','16','20','N','103240','2008-03-01-00.00.00.0000','','703016'
'2381','1','0','10','N','103244','2008-03-01-00.00.00.0000','','703017'
'2382','2','11','15','N','103245','2008-03-01-00.00.00.0000','','703017'
'2383','3','16','20','N','103246','2008-03-01-00.00.00.0000','','703017'
'2384','1','0','20','N','103636','2008-03-01-00.00.00.0000','','703000'
'2385','2','21','25','N','103637','2008-03-01-00.00.00.0000','','703000'
'2386','3','26','30','N','103638','2008-03-01-00.00.00.0000','','703000'
'2387','4','31','40','N','103639','2008-03-01-00.00.00.0000','','703000'
'2388','5','41','50','N','103640','2008-03-01-00.00.00.0000','','703000'
'2389','6','51','60','N','103641','2008-03-01-00.00.00.0000','','703000'
'2390','7','61','999','N','103642','2008-03-01-00.00.00.0000','','703000'
'2391','1','0','20','N','103648','2008-03-01-00.00.00.0000','','703001'
'2392','2','21','25','N','103649','2008-03-01-00.00.00.0000','','703001'
'2393','3','26','30','N','103650','2008-03-01-00.00.00.0000','','703001'
'2394','4','31','40','N','103651','2008-03-01-00.00.00.0000','','703001'
'2395','5','41','50','N','103652','2008-03-01-00.00.00.0000','','703001'
'2396','6','51','60','N','103653','2008-03-01-00.00.00.0000','','703001'
'2397','7','61','999','N','103654','2008-03-01-00.00.00.0000','','703001'
'2398','1','0','15','N','103660','2008-03-01-00.00.00.0000','','703002'
'2399','2','16','20','N','103661','2008-03-01-00.00.00.0000','','703002'
'2400','3','21','25','N','103662','2008-03-01-00.00.00.0000','','703002'
'2401','4','26','30','N','103663','2008-03-01-00.00.00.0000','','703002'
'2402','5','31','40','N','103664','2008-03-01-00.00.00.0000','','703002'
'2403','6','41','50','N','103665','2008-03-01-00.00.00.0000','','703002'
'2404','7','51','60','N','103666','2008-03-01-00.00.00.0000','','703002'
'2405','8','61','999','N','103667','2008-03-01-00.00.00.0000','','703002'
'2406','1','0','15','N','103672','2008-03-01-00.00.00.0000','','703003'
'2407','2','16','20','N','103673','2008-03-01-00.00.00.0000','','703003'
'2408','3','21','25','N','103674','2008-03-01-00.00.00.0000','','703003'
'2409','4','26','30','N','103675','2008-03-01-00.00.00.0000','','703003'
'2410','5','31','40','N','103676','2008-03-01-00.00.00.0000','','703003'
'2411','6','41','50','N','103677','2008-03-01-00.00.00.0000','','703003'
'2412','7','51','60','N','103678','2008-03-01-00.00.00.0000','','703003'
'2413','8','61','999','N','103679','2008-03-01-00.00.00.0000','','703003'
'2414','1','0','25','N','103684','2008-03-01-00.00.00.0000','','703004'
'2415','2','26','30','N','103685','2008-03-01-00.00.00.0000','','703004'
'2416','3','31','40','N','103686','2008-03-01-00.00.00.0000','','703004'
'2417','4','41','50','N','103687','2008-03-01-00.00.00.0000','','703004'
'2418','5','51','60','N','103688','2008-03-01-00.00.00.0000','','703004'
'2419','6','61','70','N','103689','2008-03-01-00.00.00.0000','','703004'
'2420','7','71','999','N','103690','2008-03-01-00.00.00.0000','','703004'
'2421','1','0','30','N','103696','2008-03-01-00.00.00.0000','','703005'
'2422','2','31','40','N','103697','2008-03-01-00.00.00.0000','','703005'
'2423','3','41','50','N','103698','2008-03-01-00.00.00.0000','','703005'
'2424','4','51','60','N','103699','2008-03-01-00.00.00.0000','','703005'
'2425','5','61','70','N','103700','2008-03-01-00.00.00.0000','','703005'
'2426','6','71','999','N','103701','2008-03-01-00.00.00.0000','','703005'
'2427','3','16','20','N','103716','2008-03-01-00.00.00.0000','','703006'
'2428','4','21','25','N','103717','2008-03-01-00.00.00.0000','','703006'
'2429','5','26','30','N','103718','2008-03-01-00.00.00.0000','','703006'
'2430','6','31','40','N','103719','2008-03-01-00.00.00.0000','','703006'
'2431','7','41','50','N','103720','2008-03-01-00.00.00.0000','','703006'
'2432','8','51','60','N','103721','2008-03-01-00.00.00.0000','','703006'
'2433','9','60','999','N','103722','2008-03-01-00.00.00.0000','','703006'
'2434','3','16','20','N','103728','2008-03-01-00.00.00.0000','','703007'
'2435','4','21','25','N','103729','2008-03-01-00.00.00.0000','','703007'
'2436','5','26','30','N','103730','2008-03-01-00.00.00.0000','','703007'
'2437','6','31','40','N','103731','2008-03-01-00.00.00.0000','','703007'
'2438','7','41','50','N','103732','2008-03-01-00.00.00.0000','','703007'
'2439','8','51','60','N','103733','2008-03-01-00.00.00.0000','','703007'
'2440','9','60','999','N','103734','2008-03-01-00.00.00.0000','','703007'
'2441','2','11','15','N','103737','2008-03-01-00.00.00.0000','','703008'
'2442','2','0','15','N','103739','2008-03-01-00.00.00.0000','','703020'
'2443','3','16','20','N','103740','2008-03-01-00.00.00.0000','','703008'
'2444','4','21','25','N','103741','2008-03-01-00.00.00.0000','','703008'
'2445','5','26','30','N','103742','2008-03-01-00.00.00.0000','','703008'
'2446','6','31','40','N','103743','2008-03-01-00.00.00.0000','','703008'
'2447','7','41','50','N','103744','2008-03-01-00.00.00.0000','','703008'
'2448','8','51','60','N','103745','2008-03-01-00.00.00.0000','','703008'
'2449','9','61','999','N','103746','2008-03-01-00.00.00.0000','','703008'
'2450','3','16','20','N','103752','2008-03-01-00.00.00.0000','','703009'
'2451','4','21','25','N','103753','2008-03-01-00.00.00.0000','','703009'
'2452','5','26','30','N','103754','2008-03-01-00.00.00.0000','','703009'
'2453','6','31','40','N','103755','2008-03-01-00.00.00.0000','','703009'
'2454','7','41','50','N','103756','2008-03-01-00.00.00.0000','','703009'
'2455','8','51','60','N','103757','2008-03-01-00.00.00.0000','','703009'
'2456','9','61','999','N','103758','2008-03-01-00.00.00.0000','','703009'
'2457','4','21','25','N','103762','2008-03-01-00.00.00.0000','','703010'
'2458','5','26','30','N','103763','2008-03-01-00.00.00.0000','','703010'
'2459','6','31','40','N','103764','2008-03-01-00.00.00.0000','','703010'
'2460','7','41','50','N','103765','2008-03-01-00.00.00.0000','','703010'
'2461','8','51','60','N','103766','2008-03-01-00.00.00.0000','','703010'
'2462','9','61','70','N','103767','2008-03-01-00.00.00.0000','','703010'
'2463','10','71','999','N','103768','2008-03-01-00.00.00.0000','','703010'
'2464','4','21','25','N','103774','2008-03-01-00.00.00.0000','','703011'
'2465','5','26','30','N','103775','2008-03-01-00.00.00.0000','','703011'
'2466','6','31','40','N','103776','2008-03-01-00.00.00.0000','','703011'
'2467','7','41','50','N','103777','2008-03-01-00.00.00.0000','','703011'
'2468','8','51','60','N','103778','2008-03-01-00.00.00.0000','','703011'
'2469','9','61','70','N','103779','2008-03-01-00.00.00.0000','','703011'
'2470','10','71','999','N','103780','2008-03-01-00.00.00.0000','','703011'
'2471','3','16','20','N','103786','2008-03-01-00.00.00.0000','','703012'
'2472','4','21','25','N','103787','2008-03-01-00.00.00.0000','','703012'
'2473','5','26','30','N','103788','2008-03-01-00.00.00.0000','','703012'
'2474','6','31','40','N','103789','2008-03-01-00.00.00.0000','','703012'
'2475','7','41','50','N','103790','2008-03-01-00.00.00.0000','','703012'
'2476','8','51','60','N','103791','2008-03-01-00.00.00.0000','','703012'
'2477','9','60','999','N','103792','2008-03-01-00.00.00.0000','','703012'
'2478','3','16','20','N','103798','2008-03-01-00.00.00.0000','','703013'
'2479','4','21','25','N','103799','2008-03-01-00.00.00.0000','','703013'
'2480','5','26','30','N','103800','2008-03-01-00.00.00.0000','','703013'
'2481','6','31','40','N','103801','2008-03-01-00.00.00.0000','','703013'
'2482','7','41','50','N','103802','2008-03-01-00.00.00.0000','','703013'
'2483','8','51','60','N','103803','2008-03-01-00.00.00.0000','','703013'
'2484','9','60','999','N','103804','2008-03-01-00.00.00.0000','','703013'
'2485','2','11','15','N','103809','2008-03-01-00.00.00.0000','','703014'
'2486','3','16','20','N','103810','2008-03-01-00.00.00.0000','','703014'
'2487','4','21','25','N','103811','2008-03-01-00.00.00.0000','','703014'
'2488','5','26','30','N','103812','2008-03-01-00.00.00.0000','','703014'
'2489','6','31','40','N','103813','2008-03-01-00.00.00.0000','','703014'
'2490','7','41','50','N','103814','2008-03-01-00.00.00.0000','','703014'
'2491','8','51','60','N','103815','2008-03-01-00.00.00.0000','','703014'
'2492','9','60','999','N','103816','2008-03-01-00.00.00.0000','','703014'
'2493','3','16','20','N','103822','2008-03-01-00.00.00.0000','','703015'
'2494','4','21','25','N','103823','2008-03-01-00.00.00.0000','','703015'
'2495','5','26','30','N','103824','2008-03-01-00.00.00.0000','','703015'
'2496','6','31','40','N','103825','2008-03-01-00.00.00.0000','','703015'
'2497','7','41','50','N','103826','2008-03-01-00.00.00.0000','','703015'
'2498','8','51','60','N','103827','2008-03-01-00.00.00.0000','','703015'
'2499','9','60','999','N','103828','2008-03-01-00.00.00.0000','','703015'
'2500','4','21','25','N','103834','2008-03-01-00.00.00.0000','','703016'
'2501','5','26','30','N','103835','2008-03-01-00.00.00.0000','','703016'
'2502','6','31','40','N','103836','2008-03-01-00.00.00.0000','','703016'
'2503','7','41','50','N','103837','2008-03-01-00.00.00.0000','','703016'
'2504','8','51','60','N','103838','2008-03-01-00.00.00.0000','','703016'
'2505','9','61','70','N','103839','2008-03-01-00.00.00.0000','','703016'
'2506','10','70','999','N','103840','2008-03-01-00.00.00.0000','','703016'
'2507','4','21','25','N','103846','2008-03-01-00.00.00.0000','','703017'
'2508','5','26','30','N','103847','2008-03-01-00.00.00.0000','','703017'
'2509','6','31','40','N','103848','2008-03-01-00.00.00.0000','','703017'
'2510','7','41','50','N','103849','2008-03-01-00.00.00.0000','','703017'
'2511','8','51','60','N','103850','2008-03-01-00.00.00.0000','','703017'
'2512','9','61','70','N','103851','2008-03-01-00.00.00.0000','','703017'
'2513','10','70','999','N','103852','2008-03-01-00.00.00.0000','','703017'
'2514','1','4','5','N','104600','2008-03-01-00.00.00.0000','1','704000'
'2515','2','3','4','N','104601','2008-03-01-00.00.00.0000','1','704000'
'2516','3','2','3','N','104602','2008-03-01-00.00.00.0000','1','704000'
'2517','4','1','2','N','104603','2008-03-01-00.00.00.0000','1','704000'
'2518','5','0','1','N','104604','2008-03-01-00.00.00.0000','1','704000'
'2519','1','4','5','N','104606','2008-03-01-00.00.00.0000','1','704001'
'2520','2','3','4','N','104607','2008-03-01-00.00.00.0000','1','704001'
'2521','3','2','3','N','104608','2008-03-01-00.00.00.0000','1','704001'
'2522','4','1','2','N','104609','2008-03-01-00.00.00.0000','1','704001'
'2523','5','0','1','N','104610','2008-03-01-00.00.00.0000','1','704001'
'2524','1','4','5','N','104612','2008-03-01-00.00.00.0000','1','704002'
'2525','2','3','4','N','104613','2008-03-01-00.00.00.0000','1','704002'
'2526','3','2','3','N','104614','2008-03-01-00.00.00.0000','1','704002'
'2527','4','1','2','N','104615','2008-03-01-00.00.00.0000','1','704002'
'2528','5','0','1','N','104616','2008-03-01-00.00.00.0000','1','704002'
'2529','1','4','5','N','104618','2008-03-01-00.00.00.0000','1','704003'
'2530','2','3','4','N','104619','2008-03-01-00.00.00.0000','1','704003'
'2531','3','2','3','N','104620','2008-03-01-00.00.00.0000','1','704003'
'2532','4','1','2','N','104621','2008-03-01-00.00.00.0000','1','704003'
'2533','5','0','1','N','104622','2008-03-01-00.00.00.0000','1','704003'
'2534','1','4','5','N','104624','2008-03-01-00.00.00.0000','1','704004'
'2535','2','3','4','N','104625','2008-03-01-00.00.00.0000','1','704004'
'2536','3','2','3','N','104626','2008-03-01-00.00.00.0000','1','704004'
'2537','4','1','2','N','104627','2008-03-01-00.00.00.0000','1','704004'
'2538','5','0','1','N','104628','2008-03-01-00.00.00.0000','1','704004'
'2539','1','4','5','N','104630','2008-03-01-00.00.00.0000','1','704005'
'2540','2','3','4','N','104631','2008-03-01-00.00.00.0000','1','704005'
'2541','3','2','3','N','104632','2008-03-01-00.00.00.0000','1','704005'
'2542','4','1','2','N','104633','2008-03-01-00.00.00.0000','1','704005'
'2543','5','0','1','N','104634','2008-03-01-00.00.00.0000','1','704005'
'2544','2','0','1','N','112191','2008-03-01-00.00.00.0000','1','712010'
'2545','3','1','999','N','112234','2008-03-01-00.00.00.0000','4','712016'
'2546','4','1','999','J','112235','2008-03-01-00.00.00.0000','4','712016'
'2547','4','1','999','J','112245','2008-03-01-00.00.00.0000','4','712017'
'2548','1','0','10','N','118160','2008-03-01-00.00.00.0000','','718000'
'2549','2','11','15','N','118161','2008-03-01-00.00.00.0000','','718000'
'2550','1','0','10','N','118166','2008-03-01-00.00.00.0000','','718001'
'2551','2','11','15','N','118167','2008-03-01-00.00.00.0000','','718001'
'2552','3','16','20','N','118632','2008-03-01-00.00.00.0000','','718000'
'2553','4','21','25','N','118633','2008-03-01-00.00.00.0000','','718000'
'2554','5','26','30','N','118634','2008-03-01-00.00.00.0000','','718000'
'2555','6','31','40','N','118635','2008-03-01-00.00.00.0000','','718000'
'2556','7','41','50','N','118636','2008-03-01-00.00.00.0000','','718000'
'2557','8','51','60','N','118637','2008-03-01-00.00.00.0000','','718000'
'2558','9','60','999','N','118638','2008-03-01-00.00.00.0000','','718000'
'2559','3','16','20','N','118644','2008-03-01-00.00.00.0000','','718001'
'2560','4','21','25','N','118645','2008-03-01-00.00.00.0000','','718001'
'2561','5','26','30','N','118646','2008-03-01-00.00.00.0000','','718001'
'2562','6','31','40','N','118647','2008-03-01-00.00.00.0000','','718001'
'2563','7','41','50','N','118648','2008-03-01-00.00.00.0000','','718001'
'2564','8','51','60','N','118649','2008-03-01-00.00.00.0000','','718001'
'2565','9','61','999','N','118650','2008-03-01-00.00.00.0000','','718001'
'2566','1','0','10','N','120106','2008-03-01-00.00.00.0000','','720000'
'2567','2','11','15','N','120107','2008-03-01-00.00.00.0000','','720000'
'2568','1','0','10','N','120112','2008-03-01-00.00.00.0000','','720001'
'2569','2','11','15','N','120113','2008-03-01-00.00.00.0000','','720001'
'2570','1','0','10','N','120118','2008-03-01-00.00.00.0000','','720002'
'2571','1','0','10','N','120124','2008-03-01-00.00.00.0000','','720003'
'2572','2','11','15','N','120125','2008-03-01-00.00.00.0000','','720003'
'2573','1','0','10','N','120130','2008-03-01-00.00.00.0000','','720004'
'2574','2','11','15','N','120131','2008-03-01-00.00.00.0000','','720004'
'2575','3','16','20','N','120132','2008-03-01-00.00.00.0000','','720004'
'2576','1','0','10','N','120136','2008-03-01-00.00.00.0000','','720005'
'2577','2','11','15','N','120137','2008-03-01-00.00.00.0000','','720005'
'2578','3','16','20','N','120138','2008-03-01-00.00.00.0000','','720005'
'2579','1','0','10','N','120154','2008-03-01-00.00.00.0000','','720006'
'2580','2','11','15','N','120155','2008-03-01-00.00.00.0000','','720006'
'2581','1','0','10','N','120160','2008-03-01-00.00.00.0000','','720007'
'2582','2','11','15','N','120161','2008-03-01-00.00.00.0000','','720007'
'2583','1','0','10','N','120166','2008-03-01-00.00.00.0000','','720008'
'2584','1','0','10','N','120172','2008-03-01-00.00.00.0000','','720009'
'2585','2','11','15','N','120173','2008-03-01-00.00.00.0000','','720009'
'2586','1','0','10','N','120178','2008-03-01-00.00.00.0000','','720010'
'2587','2','11','15','N','120179','2008-03-01-00.00.00.0000','','720010'
'2588','3','16','20','N','120180','2008-03-01-00.00.00.0000','','720010'
'2589','1','0','10','N','120184','2008-03-01-00.00.00.0000','','720011'
'2590','2','11','15','N','120185','2008-03-01-00.00.00.0000','','720011'
'2591','3','16','20','N','120186','2008-03-01-00.00.00.0000','','720011'
'2592','3','16','20','N','120618','2008-03-01-00.00.00.0000','','720000'
'2593','4','21','25','N','120619','2008-03-01-00.00.00.0000','','720000'
