hatKennzeichnung,gehoertZuTatbestandBE
'1','113301','2002-01-01-00.00.00.0000'
'1','113300','2002-01-01-00.00.00.0000'
'1','113284','2002-01-01-00.00.00.0000'
'1','113283','2002-01-01-00.00.00.0000'
'1','113322','2002-01-01-00.00.00.0000'
'1','112114','2002-01-01-00.00.00.0000'
'1','112130','2002-01-01-00.00.00.0000'
'1','112125','2002-01-01-00.00.00.0000'
'1','112124','2002-01-01-00.00.00.0000'
'1','112123','2002-01-01-00.00.00.0000'
'1','112122','2002-01-01-00.00.00.0000'
'1','112121','2002-01-01-00.00.00.0000'
'1','112163','2002-01-01-00.00.00.0000'
'1','112115','2002-01-01-00.00.00.0000'
'1','112133','2002-01-01-00.00.00.0000'
'1','112113','2002-01-01-00.00.00.0000'
'1','112112','2002-01-01-00.00.00.0000'
'1','112111','2002-01-01-00.00.00.0000'
'1','112110','2002-01-01-00.00.00.0000'
'1','112105','2002-01-01-00.00.00.0000'
'1','112104','2002-01-01-00.00.00.0000'
'1','112120','2002-01-01-00.00.00.0000'
'1','112144','2002-01-01-00.00.00.0000'
'1','112162','2002-01-01-00.00.00.0000'
'1','112161','2002-01-01-00.00.00.0000'
'1','112160','2002-01-01-00.00.00.0000'
'1','112155','2002-01-01-00.00.00.0000'
'1','112154','2002-01-01-00.00.00.0000'
'1','112153','2002-01-01-00.00.00.0000'
'1','112131','2002-01-01-00.00.00.0000'
'1','112145','2002-01-01-00.00.00.0000'
'1','112132','2002-01-01-00.00.00.0000'
'1','112143','2002-01-01-00.00.00.0000'
'1','112142','2002-01-01-00.00.00.0000'
'1','112141','2002-01-01-00.00.00.0000'
'1','112140','2002-01-01-00.00.00.0000'
'1','112135','2002-01-01-00.00.00.0000'
'1','112134','2002-01-01-00.00.00.0000'
'1','112101','2002-01-01-00.00.00.0000'
'1','112152','2002-01-01-00.00.00.0000'
'1','112000','2002-01-01-00.00.00.0000'
'1','112103','2002-01-01-00.00.00.0000'
'1','112024','2002-01-01-00.00.00.0000'
'1','112023','2002-01-01-00.00.00.0000'
'1','112022','2002-01-01-00.00.00.0000'
'1','112018','2002-01-01-00.00.00.0000'
'1','112012','2002-01-01-00.00.00.0000'
'1','112032','2002-01-01-00.00.00.0000'
'1','112001','2002-01-01-00.00.00.0000'
'1','112033','2002-01-01-00.00.00.0000'
'1','109161','2002-01-01-00.00.00.0000'
'1','109160','2002-01-01-00.00.00.0000'
'1','109155','2002-01-01-00.00.00.0000'
'1','109154','2002-01-01-00.00.00.0000'
'1','112324','2002-01-01-00.00.00.0000'
'1','113282','2002-01-01-00.00.00.0000'
'1','101048','2002-01-01-00.00.00.0000'
'1','112006','2002-01-01-00.00.00.0000'
'1','112045','2002-01-01-00.00.00.0000'
'1','112062','2002-01-01-00.00.00.0000'
'1','112100','2002-01-01-00.00.00.0000'
'1','112065','2002-01-01-00.00.00.0000'
'1','112064','2002-01-01-00.00.00.0000'
'1','112063','2002-01-01-00.00.00.0000'
'1','112061','2002-01-01-00.00.00.0000'
'1','112025','2002-01-01-00.00.00.0000'
'1','112050','2002-01-01-00.00.00.0000'
'1','112102','2002-01-01-00.00.00.0000'
'1','112044','2002-01-01-00.00.00.0000'
'1','112043','2002-01-01-00.00.00.0000'
'1','112042','2002-01-01-00.00.00.0000'
'1','112041','2002-01-01-00.00.00.0000'
'1','112040','2002-01-01-00.00.00.0000'
'1','112035','2002-01-01-00.00.00.0000'
'1','112034','2002-01-01-00.00.00.0000'
'1','112051','2002-01-01-00.00.00.0000'
'1','112254','2002-01-01-00.00.00.0000'
'1','112274','2002-01-01-00.00.00.0000'
'1','112273','2002-01-01-00.00.00.0000'
'1','112272','2002-01-01-00.00.00.0000'
'1','112265','2002-01-01-00.00.00.0000'
'1','112264','2002-01-01-00.00.00.0000'
'1','112263','2002-01-01-00.00.00.0000'
'1','112234','2002-01-01-00.00.00.0000'
'1','112255','2002-01-01-00.00.00.0000'
'1','112285','2002-01-01-00.00.00.0000'
'1','112253','2002-01-01-00.00.00.0000'
'1','112252','2002-01-01-00.00.00.0000'
'1','112245','2002-01-01-00.00.00.0000'
'1','112244','2002-01-01-00.00.00.0000'
'1','112243','2002-01-01-00.00.00.0000'
'1','112242','2002-01-01-00.00.00.0000'
'1','112235','2002-01-01-00.00.00.0000'
'1','112262','2002-01-01-00.00.00.0000'
'1','112304','2002-01-01-00.00.00.0000'
'1','112323','2002-01-01-00.00.00.0000'
'1','112322','2002-01-01-00.00.00.0000'
'1','112315','2002-01-01-00.00.00.0000'
'1','112060','2002-01-01-00.00.00.0000'
'1','112164','2002-01-01-00.00.00.0000'
'1','112314','2002-01-01-00.00.00.0000'
'1','112313','2002-01-01-00.00.00.0000'
'1','112275','2002-01-01-00.00.00.0000'
'1','112305','2002-01-01-00.00.00.0000'
'1','112283','2002-01-01-00.00.00.0000'
'1','112303','2002-01-01-00.00.00.0000'
'1','112302','2002-01-01-00.00.00.0000'
'1','112295','2002-01-01-00.00.00.0000'
'1','112294','2002-01-01-00.00.00.0000'
'1','112293','2002-01-01-00.00.00.0000'
'1','112292','2002-01-01-00.00.00.0000'
'1','112282','2002-01-01-00.00.00.0000'
'1','112312','2002-01-01-00.00.00.0000'
'1','112175','2002-01-01-00.00.00.0000'
'1','112165','2002-01-01-00.00.00.0000'
'1','112193','2002-01-01-00.00.00.0000'
'1','112192','2002-01-01-00.00.00.0000'
'1','112191','2002-01-01-00.00.00.0000'
'1','112190','2002-01-01-00.00.00.0000'
'1','112184','2002-01-01-00.00.00.0000'
'1','112182','2002-01-01-00.00.00.0000'
'1','112194','2002-01-01-00.00.00.0000'
'1','112180','2002-01-01-00.00.00.0000'
'1','112185','2002-01-01-00.00.00.0000'
'1','112174','2002-01-01-00.00.00.0000'
'1','112233','2002-01-01-00.00.00.0000'
'1','112284','2002-01-01-00.00.00.0000'
'1','112173','2002-01-01-00.00.00.0000'
'1','112172','2002-01-01-00.00.00.0000'
'1','112171','2002-01-01-00.00.00.0000'
'1','112170','2002-01-01-00.00.00.0000'
'1','112181','2002-01-01-00.00.00.0000'
'1','112205','2002-01-01-00.00.00.0000'
'1','112222','2002-01-01-00.00.00.0000'
'1','112224','2002-01-01-00.00.00.0000'
'1','112183','2002-01-01-00.00.00.0000'
'1','112211','2002-01-01-00.00.00.0000'
'1','112223','2002-01-01-00.00.00.0000'
'1','112210','2002-01-01-00.00.00.0000'
'1','112216','2002-01-01-00.00.00.0000'
'1','112204','2002-01-01-00.00.00.0000'
'1','112203','2002-01-01-00.00.00.0000'
'1','112202','2002-01-01-00.00.00.0000'
'1','112201','2002-01-01-00.00.00.0000'
'1','112200','2002-01-01-00.00.00.0000'
'1','112232','2002-01-01-00.00.00.0000'
'1','112225','2002-01-01-00.00.00.0000'
'1','112195','2002-01-01-00.00.00.0000'
'3','120648','2002-01-01-00.00.00.0000'
'3','120644','2002-01-01-00.00.00.0000'
'3','120657','2002-01-01-00.00.00.0000'
'3','120645','2002-01-01-00.00.00.0000'
'3','120655','2002-01-01-00.00.00.0000'
'3','120647','2002-01-01-00.00.00.0000'
'3','120654','2002-01-01-00.00.00.0000'
'3','120656','2002-01-01-00.00.00.0000'
'3','120646','2002-01-01-00.00.00.0000'
'3','120643','2002-01-01-00.00.00.0000'
'3','120642','2002-01-01-00.00.00.0000'
'3','120635','2002-01-01-00.00.00.0000'
'3','120630','2002-01-01-00.00.00.0000'
'3','120634','2002-01-01-00.00.00.0000'
'3','120633','2002-01-01-00.00.00.0000'
'3','120623','2002-01-01-00.00.00.0000'
'3','120624','2002-01-01-00.00.00.0000'
'3','120658','2002-01-01-00.00.00.0000'
'3','120682','2002-01-01-00.00.00.0000'
'3','120632','2002-01-01-00.00.00.0000'
'3','120631','2002-01-01-00.00.00.0000'
'3','120636','2002-01-01-00.00.00.0000'
'3','120679','2002-01-01-00.00.00.0000'
'3','120771','2002-01-01-00.00.00.0000'
'3','120770','2002-01-01-00.00.00.0000'
'3','120772','2002-01-01-00.00.00.0000'
'3','118659','2002-01-01-00.00.00.0000'
'3','120773','2002-01-01-00.00.00.0000'
'3','120622','2002-01-01-00.00.00.0000'
'3','120769','2002-01-01-00.00.00.0000'
'3','120768','2002-01-01-00.00.00.0000'
'3','120684','2002-01-01-00.00.00.0000'
'3','120680','2002-01-01-00.00.00.0000'
'3','120681','2002-01-01-00.00.00.0000'
'3','120659','2002-01-01-00.00.00.0000'
'3','120678','2002-01-01-00.00.00.0000'
'3','120672','2002-01-01-00.00.00.0000'
'3','120671','2002-01-01-00.00.00.0000'
'3','120670','2002-01-01-00.00.00.0000'
'3','120669','2002-01-01-00.00.00.0000'
'3','120668','2002-01-01-00.00.00.0000'
'3','120667','2002-01-01-00.00.00.0000'
'3','120666','2002-01-01-00.00.00.0000'
'3','120660','2002-01-01-00.00.00.0000'
'3','120683','2002-01-01-00.00.00.0000'
'3','118656','2002-01-01-00.00.00.0000'
'3','120125','2002-01-01-00.00.00.0000'
'3','120124','2002-01-01-00.00.00.0000'
'3','120119','2002-01-01-00.00.00.0000'
'3','120118','2002-01-01-00.00.00.0000'
'3','120113','2002-01-01-00.00.00.0000'
'3','120112','2002-01-01-00.00.00.0000'
'3','120107','2002-01-01-00.00.00.0000'
'3','118660','2002-01-01-00.00.00.0000'
'3','120106','2002-01-01-00.00.00.0000'
'3','118657','2002-01-01-00.00.00.0000'
'3','120132','2002-01-01-00.00.00.0000'
'3','118655','2002-01-01-00.00.00.0000'
'3','118654','2002-01-01-00.00.00.0000'
'3','118650','2002-01-01-00.00.00.0000'
'3','118649','2002-01-01-00.00.00.0000'
'3','118648','2002-01-01-00.00.00.0000'
'3','120774','2002-01-01-00.00.00.0000'
'3','141655','2002-01-01-00.00.00.0000'
'3','118647','2002-01-01-00.00.00.0000'
'3','118646','2002-01-01-00.00.00.0000'
'3','118658','2002-01-01-00.00.00.0000'
'3','120167','2002-01-01-00.00.00.0000'
'3','120620','2002-01-01-00.00.00.0000'
'3','120619','2002-01-01-00.00.00.0000'
'3','120618','2002-01-01-00.00.00.0000'
'3','120186','2002-01-01-00.00.00.0000'
'3','120185','2002-01-01-00.00.00.0000'
'3','120184','2002-01-01-00.00.00.0000'
'3','120180','2002-01-01-00.00.00.0000'
'3','120179','2002-01-01-00.00.00.0000'
'3','120178','2002-01-01-00.00.00.0000'
'3','120130','2002-01-01-00.00.00.0000'
