hatKennzeichnung,gehoertZuTatbestandBE
'5','342649','2007-03-01-00.00.00.0000'
'5','342650','2007-03-01-00.00.00.0000'
'5','342651','2007-03-01-00.00.00.0000'
'5','342652','2007-03-01-00.00.00.0000'
'5','342653','2007-03-01-00.00.00.0000'
'5','342654','2007-03-01-00.00.00.0000'
'5','342655','2007-03-01-00.00.00.0000'
'5','342656','2007-03-01-00.00.00.0000'
'5','342657','2007-03-01-00.00.00.0000'
'5','342658','2007-03-01-00.00.00.0000'
'5','342659','2007-03-01-00.00.00.0000'
'5','331130','2007-03-01-00.00.00.0000'
'5','331148','2007-03-01-00.00.00.0000'
'5','331166','2007-03-01-00.00.00.0000'
'5','331178','2007-03-01-00.00.00.0000'
'5','331190','2007-03-01-00.00.00.0000'
'5','331191','2007-03-01-00.00.00.0000'
'5','331192','2007-03-01-00.00.00.0000'
'5','331208','2007-03-01-00.00.00.0000'
'5','331209','2007-03-01-00.00.00.0000'
'5','331210','2007-03-01-00.00.00.0000'
'5','331226','2007-03-01-00.00.00.0000'
'5','331227','2007-03-01-00.00.00.0000'
'5','331228','2007-03-01-00.00.00.0000'
'5','331238','2007-03-01-00.00.00.0000'
'5','331239','2007-03-01-00.00.00.0000'
'5','331240','2007-03-01-00.00.00.0000'
'5','331248','2007-03-01-00.00.00.0000'
'5','331260','2007-03-01-00.00.00.0000'
'5','331272','2007-03-01-00.00.00.0000'
'5','331273','2007-03-01-00.00.00.0000'
'5','331274','2007-03-01-00.00.00.0000'
'5','331284','2007-03-01-00.00.00.0000'
'5','331285','2007-03-01-00.00.00.0000'
'5','331286','2007-03-01-00.00.00.0000'
'5','331296','2007-03-01-00.00.00.0000'
'5','331308','2007-03-01-00.00.00.0000'
'5','331320','2007-03-01-00.00.00.0000'
'5','331321','2007-03-01-00.00.00.0000'
'5','331322','2007-03-01-00.00.00.0000'
'5','331784','2007-03-01-00.00.00.0000'
'5','331785','2007-03-01-00.00.00.0000'
'5','331786','2007-03-01-00.00.00.0000'
'5','331787','2007-03-01-00.00.00.0000'
'5','331788','2007-03-01-00.00.00.0000'
'5','331790','2007-03-01-00.00.00.0000'
'5','331791','2007-03-01-00.00.00.0000'
'5','331792','2007-03-01-00.00.00.0000'
'5','331793','2007-03-01-00.00.00.0000'
'5','331794','2007-03-01-00.00.00.0000'
'5','331796','2007-03-01-00.00.00.0000'
'5','331797','2007-03-01-00.00.00.0000'
'5','331798','2007-03-01-00.00.00.0000'
'5','331799','2007-03-01-00.00.00.0000'
'5','331800','2007-03-01-00.00.00.0000'
'5','331802','2007-03-01-00.00.00.0000'
'5','331803','2007-03-01-00.00.00.0000'
'5','331804','2007-03-01-00.00.00.0000'
'5','331805','2007-03-01-00.00.00.0000'
'5','331806','2007-03-01-00.00.00.0000'
'5','331808','2007-03-01-00.00.00.0000'
'5','331809','2007-03-01-00.00.00.0000'
'5','331810','2007-03-01-00.00.00.0000'
'5','331811','2007-03-01-00.00.00.0000'
'5','331812','2007-03-01-00.00.00.0000'
'5','331814','2007-03-01-00.00.00.0000'
'5','331815','2007-03-01-00.00.00.0000'
'5','331816','2007-03-01-00.00.00.0000'
'5','331817','2007-03-01-00.00.00.0000'
'5','331818','2007-03-01-00.00.00.0000'
'5','331820','2007-03-01-00.00.00.0000'
'5','331821','2007-03-01-00.00.00.0000'
'5','331822','2007-03-01-00.00.00.0000'
'5','331823','2007-03-01-00.00.00.0000'
'5','331824','2007-03-01-00.00.00.0000'
'5','331826','2007-03-01-00.00.00.0000'
'5','331827','2007-03-01-00.00.00.0000'
'5','331828','2007-03-01-00.00.00.0000'
'5','331829','2007-03-01-00.00.00.0000'
'5','331830','2007-03-01-00.00.00.0000'
'5','331832','2007-03-01-00.00.00.0000'
'5','331833','2007-03-01-00.00.00.0000'
'5','331834','2007-03-01-00.00.00.0000'
'5','331835','2007-03-01-00.00.00.0000'
'5','331836','2007-03-01-00.00.00.0000'
'5','331838','2007-03-01-00.00.00.0000'
'5','331839','2007-03-01-00.00.00.0000'
'5','331840','2007-03-01-00.00.00.0000'
'5','331841','2007-03-01-00.00.00.0000'
'5','331842','2007-03-01-00.00.00.0000'
'5','331844','2007-03-01-00.00.00.0000'
'5','331845','2007-03-01-00.00.00.0000'
'5','331846','2007-03-01-00.00.00.0000'
'5','331848','2007-03-01-00.00.00.0000'
'5','331849','2007-03-01-00.00.00.0000'
'5','331850','2007-03-01-00.00.00.0000'
'5','331852','2007-03-01-00.00.00.0000'
'5','331853','2007-03-01-00.00.00.0000'
'5','331854','2007-03-01-00.00.00.0000'
'5','331856','2007-03-01-00.00.00.0000'
'5','331857','2007-03-01-00.00.00.0000'
'5','331858','2007-03-01-00.00.00.0000'
'5','331860','2007-03-01-00.00.00.0000'
'5','331861','2007-03-01-00.00.00.0000'
'5','331862','2007-03-01-00.00.00.0000'
'5','331864','2007-03-01-00.00.00.0000'
'5','331865','2007-03-01-00.00.00.0000'
'5','331866','2007-03-01-00.00.00.0000'
'5','331868','2007-03-01-00.00.00.0000'
'5','331869','2007-03-01-00.00.00.0000'
'5','331870','2007-03-01-00.00.00.0000'
'5','331874','2007-03-01-00.00.00.0000'
'5','331875','2007-03-01-00.00.00.0000'
'5','331876','2007-03-01-00.00.00.0000'
'5','331880','2007-03-01-00.00.00.0000'
'5','331881','2007-03-01-00.00.00.0000'
'5','331882','2007-03-01-00.00.00.0000'
'5','331886','2007-03-01-00.00.00.0000'
'5','331887','2007-03-01-00.00.00.0000'
'5','331888','2007-03-01-00.00.00.0000'
'5','331892','2007-03-01-00.00.00.0000'
'5','331893','2007-03-01-00.00.00.0000'
'5','331894','2007-03-01-00.00.00.0000'
'5','331895','2007-03-01-00.00.00.0000'
'5','331896','2007-03-01-00.00.00.0000'
'5','331898','2007-03-01-00.00.00.0000'
'5','331899','2007-03-01-00.00.00.0000'
'5','331900','2007-03-01-00.00.00.0000'
'5','331901','2007-03-01-00.00.00.0000'
'5','331902','2007-03-01-00.00.00.0000'
'5','331904','2007-03-01-00.00.00.0000'
'5','331905','2007-03-01-00.00.00.0000'
'5','331906','2007-03-01-00.00.00.0000'
'5','331907','2007-03-01-00.00.00.0000'
'5','331908','2007-03-01-00.00.00.0000'
'5','331910','2007-03-01-00.00.00.0000'
'5','331911','2007-03-01-00.00.00.0000'
'5','331912','2007-03-01-00.00.00.0000'
'5','331913','2007-03-01-00.00.00.0000'
'5','331914','2007-03-01-00.00.00.0000'
'5','331916','2007-03-01-00.00.00.0000'
'5','331917','2007-03-01-00.00.00.0000'
'5','331918','2007-03-01-00.00.00.0000'
'5','331922','2007-03-01-00.00.00.0000'
'5','331923','2007-03-01-00.00.00.0000'
'5','331924','2007-03-01-00.00.00.0000'
'5','331928','2007-03-01-00.00.00.0000'
'5','331929','2007-03-01-00.00.00.0000'
'5','331930','2007-03-01-00.00.00.0000'
'5','331934','2007-03-01-00.00.00.0000'
'5','331935','2007-03-01-00.00.00.0000'
'5','331936','2007-03-01-00.00.00.0000'
'5','331940','2007-03-01-00.00.00.0000'
'5','331941','2007-03-01-00.00.00.0000'
'5','331942','2007-03-01-00.00.00.0000'
'5','331943','2007-03-01-00.00.00.0000'
'5','331944','2007-03-01-00.00.00.0000'
'5','331946','2007-03-01-00.00.00.0000'
'5','331947','2007-03-01-00.00.00.0000'
'5','331948','2007-03-01-00.00.00.0000'
'5','331949','2007-03-01-00.00.00.0000'
'5','331950','2007-03-01-00.00.00.0000'
'5','331952','2007-03-01-00.00.00.0000'
'5','331953','2007-03-01-00.00.00.0000'
'5','331954','2007-03-01-00.00.00.0000'
'5','331955','2007-03-01-00.00.00.0000'
'5','331956','2007-03-01-00.00.00.0000'
'5','331960','2007-03-01-00.00.00.0000'
'5','331961','2007-03-01-00.00.00.0000'
'5','331962','2007-03-01-00.00.00.0000'
'5','331963','2007-03-01-00.00.00.0000'
'5','331964','2007-03-01-00.00.00.0000'
'5','331968','2007-03-01-00.00.00.0000'
'5','331969','2007-03-01-00.00.00.0000'
'5','331970','2007-03-01-00.00.00.0000'
'5','331974','2007-03-01-00.00.00.0000'
'5','331975','2007-03-01-00.00.00.0000'
'5','331976','2007-03-01-00.00.00.0000'
'6','424654','2007-08-01-00.00.00.0000'
'6','424660','2007-08-01-00.00.00.0000'
'6','424666','2007-08-01-00.00.00.0000'
'6','424672','2007-08-01-00.00.00.0000'
'1','101048','2008-03-01-00.00.00.0000'
'1','101060','2008-03-01-00.00.00.0000'
'1','109155','2008-03-01-00.00.00.0000'
'1','109161','2008-03-01-00.00.00.0000'
'3','103178','2008-03-01-00.00.00.0000'
'3','103179','2008-03-01-00.00.00.0000'
'3','103184','2008-03-01-00.00.00.0000'
'3','103185','2008-03-01-00.00.00.0000'
'3','103190','2008-03-01-00.00.00.0000'
'3','103196','2008-03-01-00.00.00.0000'
'3','103197','2008-03-01-00.00.00.0000'
'3','103202','2008-03-01-00.00.00.0000'
'3','103203','2008-03-01-00.00.00.0000'
'3','103204','2008-03-01-00.00.00.0000'
'3','103208','2008-03-01-00.00.00.0000'
'3','103209','2008-03-01-00.00.00.0000'
'3','103210','2008-03-01-00.00.00.0000'
'3','103214','2008-03-01-00.00.00.0000'
'3','103215','2008-03-01-00.00.00.0000'
'3','103220','2008-03-01-00.00.00.0000'
'3','103221','2008-03-01-00.00.00.0000'
'3','103226','2008-03-01-00.00.00.0000'
'3','103232','2008-03-01-00.00.00.0000'
'3','103233','2008-03-01-00.00.00.0000'
'3','103238','2008-03-01-00.00.00.0000'
'3','103239','2008-03-01-00.00.00.0000'
'3','103240','2008-03-01-00.00.00.0000'
'3','103244','2008-03-01-00.00.00.0000'
'3','103245','2008-03-01-00.00.00.0000'
'3','103246','2008-03-01-00.00.00.0000'
'3','103636','2008-03-01-00.00.00.0000'
'3','103637','2008-03-01-00.00.00.0000'
'3','103638','2008-03-01-00.00.00.0000'
'3','103639','2008-03-01-00.00.00.0000'
'3','103640','2008-03-01-00.00.00.0000'
'3','103641','2008-03-01-00.00.00.0000'
'3','103642','2008-03-01-00.00.00.0000'
'3','103648','2008-03-01-00.00.00.0000'
'3','103649','2008-03-01-00.00.00.0000'
'3','103650','2008-03-01-00.00.00.0000'
'3','103651','2008-03-01-00.00.00.0000'
'3','103652','2008-03-01-00.00.00.0000'
'3','103653','2008-03-01-00.00.00.0000'
'3','103654','2008-03-01-00.00.00.0000'
'3','103660','2008-03-01-00.00.00.0000'
'3','103661','2008-03-01-00.00.00.0000'
'3','103662','2008-03-01-00.00.00.0000'
'3','103663','2008-03-01-00.00.00.0000'
'3','103664','2008-03-01-00.00.00.0000'
'3','103665','2008-03-01-00.00.00.0000'
'3','103666','2008-03-01-00.00.00.0000'
'3','103667','2008-03-01-00.00.00.0000'
'3','103672','2008-03-01-00.00.00.0000'
'3','103673','2008-03-01-00.00.00.0000'
'3','103674','2008-03-01-00.00.00.0000'
'3','103675','2008-03-01-00.00.00.0000'
'3','103676','2008-03-01-00.00.00.0000'
'3','103677','2008-03-01-00.00.00.0000'
'3','103678','2008-03-01-00.00.00.0000'
'3','103679','2008-03-01-00.00.00.0000'
'3','103684','2008-03-01-00.00.00.0000'
'3','103685','2008-03-01-00.00.00.0000'
'3','103686','2008-03-01-00.00.00.0000'
'3','103687','2008-03-01-00.00.00.0000'
'3','103688','2008-03-01-00.00.00.0000'
'3','103689','2008-03-01-00.00.00.0000'
'3','103690','2008-03-01-00.00.00.0000'
'3','103696','2008-03-01-00.00.00.0000'
'3','103697','2008-03-01-00.00.00.0000'
'3','103698','2008-03-01-00.00.00.0000'
'3','103699','2008-03-01-00.00.00.0000'
'3','103700','2008-03-01-00.00.00.0000'
'3','103701','2008-03-01-00.00.00.0000'
'3','103716','2008-03-01-00.00.00.0000'
'3','103717','2008-03-01-00.00.00.0000'
'3','103718','2008-03-01-00.00.00.0000'
'3','103719','2008-03-01-00.00.00.0000'
'3','103720','2008-03-01-00.00.00.0000'
'3','103721','2008-03-01-00.00.00.0000'
'3','103722','2008-03-01-00.00.00.0000'
'3','103728','2008-03-01-00.00.00.0000'
'3','103729','2008-03-01-00.00.00.0000'
'3','103730','2008-03-01-00.00.00.0000'
'3','103731','2008-03-01-00.00.00.0000'
'3','103732','2008-03-01-00.00.00.0000'
'3','103733','2008-03-01-00.00.00.0000'
'3','103734','2008-03-01-00.00.00.0000'
'3','103737','2008-03-01-00.00.00.0000'
'3','103740','2008-03-01-00.00.00.0000'
'3','103741','2008-03-01-00.00.00.0000'
'3','103742','2008-03-01-00.00.00.0000'
'3','103743','2008-03-01-00.00.00.0000'
'3','103744','2008-03-01-00.00.00.0000'
'3','103745','2008-03-01-00.00.00.0000'
'3','103746','2008-03-01-00.00.00.0000'
'3','103752','2008-03-01-00.00.00.0000'
'3','103753','2008-03-01-00.00.00.0000'
'3','103754','2008-03-01-00.00.00.0000'
'3','103755','2008-03-01-00.00.00.0000'
'3','103756','2008-03-01-00.00.00.0000'
'3','103757','2008-03-01-00.00.00.0000'
'3','103758','2008-03-01-00.00.00.0000'
'3','103762','2008-03-01-00.00.00.0000'
'3','103763','2008-03-01-00.00.00.0000'
'3','103764','2008-03-01-00.00.00.0000'
'3','103765','2008-03-01-00.00.00.0000'
'3','103766','2008-03-01-00.00.00.0000'
'3','103767','2008-03-01-00.00.00.0000'
'3','103768','2008-03-01-00.00.00.0000'
'3','103774','2008-03-01-00.00.00.0000'
'3','103775','2008-03-01-00.00.00.0000'
'3','103776','2008-03-01-00.00.00.0000'
'3','103777','2008-03-01-00.00.00.0000'
'3','103778','2008-03-01-00.00.00.0000'
'3','103779','2008-03-01-00.00.00.0000'
'3','103780','2008-03-01-00.00.00.0000'
'3','103786','2008-03-01-00.00.00.0000'
'3','103787','2008-03-01-00.00.00.0000'
'3','103788','2008-03-01-00.00.00.0000'
'3','103789','2008-03-01-00.00.00.0000'
'3','103790','2008-03-01-00.00.00.0000'
'3','103791','2008-03-01-00.00.00.0000'
'3','103792','2008-03-01-00.00.00.0000'
'3','103798','2008-03-01-00.00.00.0000'
'3','103799','2008-03-01-00.00.00.0000'
'3','103800','2008-03-01-00.00.00.0000'
'3','103801','2008-03-01-00.00.00.0000'
'3','103802','2008-03-01-00.00.00.0000'
'3','103803','2008-03-01-00.00.00.0000'
'3','103804','2008-03-01-00.00.00.0000'
'3','103809','2008-03-01-00.00.00.0000'
'3','103810','2008-03-01-00.00.00.0000'
'3','103811','2008-03-01-00.00.00.0000'
'3','103812','2008-03-01-00.00.00.0000'
'3','103813','2008-03-01-00.00.00.0000'
'3','103814','2008-03-01-00.00.00.0000'
'3','103815','2008-03-01-00.00.00.0000'
'3','103816','2008-03-01-00.00.00.0000'
'3','103822','2008-03-01-00.00.00.0000'
'3','103823','2008-03-01-00.00.00.0000'
'3','103824','2008-03-01-00.00.00.0000'
'3','103825','2008-03-01-00.00.00.0000'
'3','103826','2008-03-01-00.00.00.0000'
'3','103827','2008-03-01-00.00.00.0000'
'3','103828','2008-03-01-00.00.00.0000'
'3','103834','2008-03-01-00.00.00.0000'
'3','103835','2008-03-01-00.00.00.0000'
'3','103836','2008-03-01-00.00.00.0000'
'3','103837','2008-03-01-00.00.00.0000'
'3','103838','2008-03-01-00.00.00.0000'
'3','103839','2008-03-01-00.00.00.0000'
'3','103840','2008-03-01-00.00.00.0000'
'3','103846','2008-03-01-00.00.00.0000'
'3','103847','2008-03-01-00.00.00.0000'
'3','103848','2008-03-01-00.00.00.0000'
'3','103849','2008-03-01-00.00.00.0000'
'3','103850','2008-03-01-00.00.00.0000'
'3','103851','2008-03-01-00.00.00.0000'
'3','103852','2008-03-01-00.00.00.0000'
'3','118160','2008-03-01-00.00.00.0000'
'3','118161','2008-03-01-00.00.00.0000'
'3','118166','2008-03-01-00.00.00.0000'
'3','118167','2008-03-01-00.00.00.0000'
'3','118632','2008-03-01-00.00.00.0000'
'3','118633','2008-03-01-00.00.00.0000'
'3','118634','2008-03-01-00.00.00.0000'
'3','118635','2008-03-01-00.00.00.0000'
'3','118636','2008-03-01-00.00.00.0000'
'3','118637','2008-03-01-00.00.00.0000'
'3','118638','2008-03-01-00.00.00.0000'
'3','118644','2008-03-01-00.00.00.0000'
'3','118645','2008-03-01-00.00.00.0000'
'3','118646','2008-03-01-00.00.00.0000'
'3','118647','2008-03-01-00.00.00.0000'
'3','118648','2008-03-01-00.00.00.0000'
'3','118649','2008-03-01-00.00.00.0000'
'3','118650','2008-03-01-00.00.00.0000'
'3','120106','2008-03-01-00.00.00.0000'
'3','120107','2008-03-01-00.00.00.0000'
'3','120112','2008-03-01-00.00.00.0000'
'3','120113','2008-03-01-00.00.00.0000'
'3','120118','2008-03-01-00.00.00.0000'
'3','120124','2008-03-01-00.00.00.0000'
'3','120125','2008-03-01-00.00.00.0000'
'3','120130','2008-03-01-00.00.00.0000'
'3','120131','2008-03-01-00.00.00.0000'
'3','120132','2008-03-01-00.00.00.0000'
'3','120136','2008-03-01-00.00.00.0000'
'3','120137','2008-03-01-00.00.00.0000'
'3','120138','2008-03-01-00.00.00.0000'
'3','120154','2008-03-01-00.00.00.0000'
'3','120155','2008-03-01-00.00.00.0000'
'3','120160','2008-03-01-00.00.00.0000'
'3','120161','2008-03-01-00.00.00.0000'
'3','120166','2008-03-01-00.00.00.0000'
'3','120172','2008-03-01-00.00.00.0000'
'3','120173','2008-03-01-00.00.00.0000'
'3','120178','2008-03-01-00.00.00.0000'
'3','120179','2008-03-01-00.00.00.0000'
'3','120180','2008-03-01-00.00.00.0000'
'3','120184','2008-03-01-00.00.00.0000'
'3','120185','2008-03-01-00.00.00.0000'
'3','120186','2008-03-01-00.00.00.0000'
'3','120618','2008-03-01-00.00.00.0000'
'3','120619','2008-03-01-00.00.00.0000'
'3','120620','2008-03-01-00.00.00.0000'
'3','120621','2008-03-01-00.00.00.0000'
'3','120622','2008-03-01-00.00.00.0000'
'3','120623','2008-03-01-00.00.00.0000'
'3','120624','2008-03-01-00.00.00.0000'
'3','120630','2008-03-01-00.00.00.0000'
'3','120631','2008-03-01-00.00.00.0000'
'3','120632','2008-03-01-00.00.00.0000'
'3','120633','2008-03-01-00.00.00.0000'
'3','120634','2008-03-01-00.00.00.0000'
'3','120635','2008-03-01-00.00.00.0000'
'3','120636','2008-03-01-00.00.00.0000'
'3','120641','2008-03-01-00.00.00.0000'
'3','120642','2008-03-01-00.00.00.0000'
'3','120643','2008-03-01-00.00.00.0000'
'3','120644','2008-03-01-00.00.00.0000'
'3','120645','2008-03-01-00.00.00.0000'
'3','120646','2008-03-01-00.00.00.0000'
'3','120647','2008-03-01-00.00.00.0000'
'3','120648','2008-03-01-00.00.00.0000'
'3','120654','2008-03-01-00.00.00.0000'
'3','120655','2008-03-01-00.00.00.0000'
'3','120656','2008-03-01-00.00.00.0000'
'3','120657','2008-03-01-00.00.00.0000'
'3','120658','2008-03-01-00.00.00.0000'
'3','120659','2008-03-01-00.00.00.0000'
'3','120660','2008-03-01-00.00.00.0000'
'3','120666','2008-03-01-00.00.00.0000'
'3','120667','2008-03-01-00.00.00.0000'
'3','120668','2008-03-01-00.00.00.0000'
'3','120669','2008-03-01-00.00.00.0000'
'3','120670','2008-03-01-00.00.00.0000'
'3','120671','2008-03-01-00.00.00.0000'
'3','120672','2008-03-01-00.00.00.0000'
'3','120678','2008-03-01-00.00.00.0000'
'3','120679','2008-03-01-00.00.00.0000'
'3','120680','2008-03-01-00.00.00.0000'
'3','120681','2008-03-01-00.00.00.0000'
'3','120682','2008-03-01-00.00.00.0000'
'3','120683','2008-03-01-00.00.00.0000'
'3','120684','2008-03-01-00.00.00.0000'
'3','120768','2008-03-01-00.00.00.0000'
'3','120769','2008-03-01-00.00.00.0000'
'3','120770','2008-03-01-00.00.00.0000'
'3','120771','2008-03-01-00.00.00.0000'
'3','120772','2008-03-01-00.00.00.0000'
'3','120773','2008-03-01-00.00.00.0000'
'3','120774','2008-03-01-00.00.00.0000'
'3','120778','2008-03-01-00.00.00.0000'
'3','120779','2008-03-01-00.00.00.0000'
'3','120780','2008-03-01-00.00.00.0000'
'3','120781','2008-03-01-00.00.00.0000'
'3','120782','2008-03-01-00.00.00.0000'
'3','120783','2008-03-01-00.00.00.0000'
'3','120784','2008-03-01-00.00.00.0000'
'3','120789','2008-03-01-00.00.00.0000'
'3','120790','2008-03-01-00.00.00.0000'
'3','120791','2008-03-01-00.00.00.0000'
'3','120792','2008-03-01-00.00.00.0000'
'3','120793','2008-03-01-00.00.00.0000'
'3','120794','2008-03-01-00.00.00.0000'
'3','120795','2008-03-01-00.00.00.0000'
'3','120796','2008-03-01-00.00.00.0000'
'3','120802','2008-03-01-00.00.00.0000'
'3','120803','2008-03-01-00.00.00.0000'
'3','120804','2008-03-01-00.00.00.0000'
'3','120805','2008-03-01-00.00.00.0000'
'3','120806','2008-03-01-00.00.00.0000'
'3','120807','2008-03-01-00.00.00.0000'
'3','120808','2008-03-01-00.00.00.0000'
'3','120814','2008-03-01-00.00.00.0000'
'3','120815','2008-03-01-00.00.00.0000'
'3','120816','2008-03-01-00.00.00.0000'
'3','120817','2008-03-01-00.00.00.0000'
'3','120818','2008-03-01-00.00.00.0000'
'3','120819','2008-03-01-00.00.00.0000'
'3','120820','2008-03-01-00.00.00.0000'
'3','120826','2008-03-01-00.00.00.0000'
'3','120827','2008-03-01-00.00.00.0000'
'3','120828','2008-03-01-00.00.00.0000'
'3','120829','2008-03-01-00.00.00.0000'
'3','120830','2008-03-01-00.00.00.0000'
'3','120831','2008-03-01-00.00.00.0000'
'3','120832','2008-03-01-00.00.00.0000'
'3','141212','2008-03-01-00.00.00.0000'
'3','141213','2008-03-01-00.00.00.0000'
'3','141215','2008-03-01-00.00.00.0000'
'3','141218','2008-03-01-00.00.00.0000'
'3','141219','2008-03-01-00.00.00.0000'
'3','141220','2008-03-01-00.00.00.0000'
'3','141224','2008-03-01-00.00.00.0000'
'3','141225','2008-03-01-00.00.00.0000'
'3','141227','2008-03-01-00.00.00.0000'
'3','141228','2008-03-01-00.00.00.0000'
'3','141230','2008-03-01-00.00.00.0000'
'3','141233','2008-03-01-00.00.00.0000'
'3','141234','2008-03-01-00.00.00.0000'
'3','141236','2008-03-01-00.00.00.0000'
'3','141237','2008-03-01-00.00.00.0000'
'3','141238','2008-03-01-00.00.00.0000'
'3','141239','2008-03-01-00.00.00.0000'
'3','141240','2008-03-01-00.00.00.0000'
'3','141241','2008-03-01-00.00.00.0000'
'3','141636','2008-03-01-00.00.00.0000'
'3','141637','2008-03-01-00.00.00.0000'
'3','141638','2008-03-01-00.00.00.0000'
'3','141639','2008-03-01-00.00.00.0000'
'3','141640','2008-03-01-00.00.00.0000'
'3','141641','2008-03-01-00.00.00.0000'
'3','141642','2008-03-01-00.00.00.0000'
'3','141644','2008-03-01-00.00.00.0000'
'3','141645','2008-03-01-00.00.00.0000'
'3','141646','2008-03-01-00.00.00.0000'
'3','141647','2008-03-01-00.00.00.0000'
'3','141648','2008-03-01-00.00.00.0000'
'3','141649','2008-03-01-00.00.00.0000'
'3','141650','2008-03-01-00.00.00.0000'
'3','141651','2008-03-01-00.00.00.0000'
'3','141654','2008-03-01-00.00.00.0000'
'3','141655','2008-03-01-00.00.00.0000'
'3','141656','2008-03-01-00.00.00.0000'
'3','141657','2008-03-01-00.00.00.0000'
'3','141658','2008-03-01-00.00.00.0000'
'3','141659','2008-03-01-00.00.00.0000'
'3','141660','2008-03-01-00.00.00.0000'
'3','141665','2008-03-01-00.00.00.0000'
'3','141666','2008-03-01-00.00.00.0000'
'3','141667','2008-03-01-00.00.00.0000'
'3','141668','2008-03-01-00.00.00.0000'
'3','141669','2008-03-01-00.00.00.0000'
'3','141670','2008-03-01-00.00.00.0000'
'3','141671','2008-03-01-00.00.00.0000'
'3','141677','2008-03-01-00.00.00.0000'
'3','141678','2008-03-01-00.00.00.0000'
'3','141679','2008-03-01-00.00.00.0000'
'3','141680','2008-03-01-00.00.00.0000'
'3','141681','2008-03-01-00.00.00.0000'
'3','141682','2008-03-01-00.00.00.0000'
'3','141683','2008-03-01-00.00.00.0000'
'3','141686','2008-03-01-00.00.00.0000'
'3','141689','2008-03-01-00.00.00.0000'
'3','141690','2008-03-01-00.00.00.0000'
'3','141691','2008-03-01-00.00.00.0000'
'3','141692','2008-03-01-00.00.00.0000'
'3','141693','2008-03-01-00.00.00.0000'
'3','141694','2008-03-01-00.00.00.0000'
'3','141695','2008-03-01-00.00.00.0000'
'3','141702','2008-03-01-00.00.00.0000'
'3','141703','2008-03-01-00.00.00.0000'
'3','141704','2008-03-01-00.00.00.0000'
'3','141705','2008-03-01-00.00.00.0000'
'3','141706','2008-03-01-00.00.00.0000'
'3','141707','2008-03-01-00.00.00.0000'
'3','141708','2008-03-01-00.00.00.0000'
'3','141712','2008-03-01-00.00.00.0000'
'3','141713','2008-03-01-00.00.00.0000'
'3','141714','2008-03-01-00.00.00.0000'
'3','141715','2008-03-01-00.00.00.0000'
'3','141716','2008-03-01-00.00.00.0000'
'3','141717','2008-03-01-00.00.00.0000'
'3','141718','2008-03-01-00.00.00.0000'
'3','141721','2008-03-01-00.00.00.0000'
'3','141722','2008-03-01-00.00.00.0000'
'3','141723','2008-03-01-00.00.00.0000'
'3','141724','2008-03-01-00.00.00.0000'
'3','141725','2008-03-01-00.00.00.0000'
'3','141726','2008-03-01-00.00.00.0000'
'3','141727','2008-03-01-00.00.00.0000'
'3','142118','2008-03-01-00.00.00.0000'
'3','142119','2008-03-01-00.00.00.0000'
'3','142124','2008-03-01-00.00.00.0000'
'3','142130','2008-03-01-00.00.00.0000'
'3','142131','2008-03-01-00.00.00.0000'
'3','142132','2008-03-01-00.00.00.0000'
'3','142606','2008-03-01-00.00.00.0000'
'3','142607','2008-03-01-00.00.00.0000'
'3','142608','2008-03-01-00.00.00.0000'
'3','142609','2008-03-01-00.00.00.0000'
'3','142610','2008-03-01-00.00.00.0000'
'3','142611','2008-03-01-00.00.00.0000'
'3','142612','2008-03-01-00.00.00.0000'
'3','142617','2008-03-01-00.00.00.0000'
'3','142618','2008-03-01-00.00.00.0000'
'3','142619','2008-03-01-00.00.00.0000'
'3','142620','2008-03-01-00.00.00.0000'
'3','142621','2008-03-01-00.00.00.0000'
'3','142622','2008-03-01-00.00.00.0000'
'3','142623','2008-03-01-00.00.00.0000'
'3','142624','2008-03-01-00.00.00.0000'
'3','142630','2008-03-01-00.00.00.0000'
'3','142631','2008-03-01-00.00.00.0000'
'3','142632','2008-03-01-00.00.00.0000'
'3','142633','2008-03-01-00.00.00.0000'
'3','142634','2008-03-01-00.00.00.0000'
'3','142635','2008-03-01-00.00.00.0000'
'3','142636','2008-03-01-00.00.00.0000'
'4','104100','2008-03-01-00.00.00.0000'
'4','104101','2008-03-01-00.00.00.0000'
'4','104102','2008-03-01-00.00.00.0000'
'4','104600','2008-03-01-00.00.00.0000'
'4','104601','2008-03-01-00.00.00.0000'
'4','104602','2008-03-01-00.00.00.0000'
'4','104603','2008-03-01-00.00.00.0000'
'4','104604','2008-03-01-00.00.00.0000'
'4','104606','2008-03-01-00.00.00.0000'
'4','104607','2008-03-01-00.00.00.0000'
'4','104608','2008-03-01-00.00.00.0000'
'4','104609','2008-03-01-00.00.00.0000'
'4','104610','2008-03-01-00.00.00.0000'
'4','104612','2008-03-01-00.00.00.0000'
'4','104613','2008-03-01-00.00.00.0000'
'4','104614','2008-03-01-00.00.00.0000'
'4','104615','2008-03-01-00.00.00.0000'
'4','104616','2008-03-01-00.00.00.0000'
'4','104618','2008-03-01-00.00.00.0000'
'4','104619','2008-03-01-00.00.00.0000'
'4','104620','2008-03-01-00.00.00.0000'
'4','104621','2008-03-01-00.00.00.0000'
'4','104622','2008-03-01-00.00.00.0000'
'4','104624','2008-03-01-00.00.00.0000'
