Alice-Prausnitz-Weg
Am alten Güterbahnhof
Am Hang
Am Lübschen Tor
Am Madebrökensee
Am Rodomstor
Am Schiffsthal
Am Schwanensee
Am Stadtwäldchen
Am Suhrer See
Am Trammer See
Amselstieg
Anna-Richter-Straße
Apenrader Straße
Appelwarder
Ascheberger Straße
August-Thienemann-Straße
Bahnhofstraße
Behler Weg
Bergstraße
Breitenaustraße
Breitenaustraße 
Breslauer Straße
Brückenstraße
Bruhnsstraße
Buchenallee
Bürgermeister-Kinder-Straße
Danziger Straße
Düvelsbrook
Elisabeth-Jaspersen-Weg
Emmi-Kurzke-Straße
Eutiner Straße
Fegetasche
Fegetasche Strand
Feldweg am Schöhsee
Finkenweg
Friedrich-Lamp-Straße
Friedrichstraße
Fünf-Seen-Allee
Gänsemarkt
Gartenstraße
Gerberhof
Gregorientwiete
Große Insel
Günther-Röhl-Straße
Hamburger Kamp
Hamburger Straße
Hans-Adolf-Straße
Harmshorn
Hartmannskoppel
Heidbleken
Heinrich-Rieper-Straße
Helga-Hansen-Ring
Hipperstraße
Johannisstraße
Jörg-Steinbach-Ring
Kaaktwiete
Kannegießerberg
Kaserne Ruhleben
Käthe-Seidel-Ring
Kieler Kamp
Klanderstraße
Klosterstraße
Klostertwiete
Knivsbergring
Königsberger Straße
Königsgehege
Koppelsberg
Krabbe
Kreherstraße
Krusekoppel
Lange Straße
Langenbusch
Langes Anlagen
Liliencronhügel
Lindenstraße
Lübecker Straße
Lütjenburger Straße
Maria-Brandt-Straße
Markt
Meisenweg
Memeler Straße
Oberer Rathsteichweg
Ölmühlenallee
Osterterp
Övelgönne
Parkstraße
Parnaßweg
Plauer Weg
Pommernweg
Priesterlandweg
Prinzenstraße
Rathaustwiete
Rathjensdorfer Weg
Rathsberg
Rautenbergstraße
Rodomstorstraße
Rosenstraße
Ruhleben
Scharweg
Scheerstraße
Schillener Straße
Schlesierweg
Schloßberg
Schloßgebiet
Seeblick
Seestraße
Stadtgrabenstraße
Stadtheide
Steinberg
Steinbergweg
Stettiner Straße
Strandweg
Strohberg
Tilsiter Straße
Tirpitzstraße
Trentseehöhe
Trentseeweg
Tweelhörsten
Ulmenstraße
Unterer Rathsteichweg
Vierschillingsberg
Vogelberg
Waldhöhe
Waldwinkel
Walter-Volkers-Straße
Wilhelmshöhe
Wilhelmstraße
